time,open,high,low,close,volume
08:30,155.220,155.220,155.140,155.140,3214
08:31,155.160,155.220,155.160,155.220,843
08:32,155.220,155.300,155.220,155.300,2525
08:33,155.270,155.380,155.270,155.360,11750
08:34,155.360,155.430,155.360,155.430,6991
08:35,155.450,155.500,155.450,155.500,11293
08:36,155.400,155.500,155.400,155.470,23296
08:37,155.470,155.500,155.470,155.494,1093
08:38,155.500,155.670,155.500,155.600,12131
08:39,155.740,155.750,155.500,155.500,6715
08:40,155.510,155.540,155.450,155.520,3506
08:41,155.450,155.450,155.250,155.400,6646
08:42,155.400,155.470,155.320,155.470,2708
08:43,155.400,155.439,155.330,155.330,3518
08:44,155.360,155.370,155.300,155.300,2181
08:45,155.360,155.400,155.360,155.400,1638
08:46,155.370,155.370,155.370,155.370,124
08:47,155.370,155.400,155.360,155.360,5327
08:48,155.360,155.360,155.340,155.360,11293
08:49,155.360,155.470,155.360,155.360,13677
08:50,155.300,155.300,155.300,155.300,2035
08:51,155.350,155.440,155.350,155.380,6613
08:52,155.380,155.380,155.330,155.340,6465
08:53,155.340,155.350,155.300,155.300,3517
08:54,155.330,155.370,155.300,155.350,12446
08:55,155.320,155.350,155.300,155.300,2705
08:56,155.280,155.280,155.150,155.200,5787
08:57,155.150,155.150,155.060,155.070,8029
08:58,155.070,155.100,155.050,155.100,6071
08:59,155.170,155.190,155.160,155.190,3804
09:00,155.240,155.280,155.180,155.280,2145
09:01,155.200,155.200,155.050,155.050,9709
09:02,155.050,155.070,154.880,155.010,15653
09:03,155.000,155.052,154.960,155.052,3459
09:04,155.089,155.089,155.000,155.000,1582
09:05,155.040,155.050,155.020,155.050,2306
09:06,155.030,155.070,154.990,155.070,5813
09:07,155.090,155.195,155.070,155.150,5756
09:08,155.150,155.200,155.150,155.160,3069
09:09,155.150,155.150,155.010,155.050,6217
09:10,155.090,155.100,155.090,155.100,1960
09:11,155.120,155.170,155.080,155.170,4173
09:12,155.180,155.220,155.170,155.220,9229
09:13,155.220,155.220,155.040,155.060,4641
09:14,155.110,155.150,154.990,155.000,13441
