time,open,high,low,close,volume
08:30,148.490,148.570,148.360,148.400,7038
08:31,148.470,148.560,148.420,148.480,1996
08:32,148.420,148.420,148.222,148.222,5747
08:33,148.210,148.210,148.050,148.050,5441
08:34,148.060,148.190,148.060,148.190,5284
08:35,148.090,148.090,147.910,147.930,25001
08:36,147.890,147.929,147.800,147.860,6575
08:37,147.940,147.940,147.780,147.780,6078
08:38,147.700,147.710,147.600,147.600,3521
08:39,147.600,147.880,147.560,147.880,9944
08:40,147.850,147.890,147.750,147.830,8931
08:41,147.850,147.860,147.750,147.850,10139
08:42,147.850,147.850,147.710,147.710,4983
08:43,147.710,147.740,147.640,147.640,6303
08:44,147.630,147.650,147.540,147.540,5186
08:45,147.510,147.510,147.220,147.220,19105
08:46,147.220,147.420,147.220,147.390,12321
08:47,147.290,147.310,146.810,146.810,20189
08:48,146.810,146.880,146.370,146.485,27013
08:49,146.490,146.620,146.280,146.620,25418
08:50,146.690,147.200,146.690,147.200,17199
08:51,147.180,147.180,147.070,147.083,7837
08:52,147.010,147.090,146.870,147.050,11544
08:53,147.000,147.280,147.000,147.270,14740
08:54,147.280,147.320,146.980,146.980,14406
08:55,146.870,147.150,146.870,147.148,5709
08:56,147.140,147.270,147.100,147.200,9068
08:57,147.200,147.400,147.184,147.400,12027
08:58,147.440,147.600,147.440,147.500,5303
08:59,147.500,147.630,147.470,147.630,14573
09:00,147.622,147.700,147.600,147.700,10888
09:01,147.700,147.700,147.600,147.600,19963
09:02,147.620,147.700,147.470,147.630,12724
09:03,147.680,147.680,146.800,146.800,16090
09:04,147.000,147.440,146.855,147.197,11757
09:05,147.180,147.410,147.150,147.410,7341
09:06,147.390,147.490,147.340,147.490,4277
09:07,147.500,147.670,147.500,147.600,4492
09:08,147.517,147.640,147.510,147.610,8355
09:09,147.630,147.700,147.500,147.700,9958
09:10,147.690,147.910,147.680,147.870,11140
09:11,147.860,148.010,147.820,147.870,21329
09:12,147.870,147.890,147.740,147.780,17097
09:13,147.750,147.800,147.601,147.601,2280
09:14,147.600,147.740,147.500,147.500,5547
09:15,147.610,147.900,147.490,147.900,21133
09:16,147.940,147.990,147.700,147.700,11571
09:17,147.860,147.950,147.770,147.950,12173
09:18,147.996,148.030,147.960,148.030,13348
09:19,148.000,148.037,147.670,147.770,5748
09:20,147.800,147.850,147.622,147.690,4972
09:21,147.670,147.800,147.650,147.690,4620
09:22,147.650,147.650,147.310,147.450,9591
09:23,147.410,147.800,147.410,147.800,3876
09:24,147.770,147.780,147.530,147.530,12746
09:25,147.440,147.580,147.240,147.240,10904
09:26,147.240,147.280,147.010,147.050,11461
09:27,147.130,147.680,147.020,147.020,14309
09:28,147.720,147.870,147.500,147.520,27713
09:29,147.590,147.980,147.020,147.870,78233
09:30,147.805,148.990,147.700,148.887,1351849
09:31,148.895,150.100,148.830,149.330,550297
09:32,149.320,149.440,149.030,149.150,301662
09:33,149.150,149.780,148.250,149.540,454502
09:34,149.500,149.520,149.070,149.160,259327
09:35,149.180,149.230,148.650,148.760,319669
09:36,148.673,149.040,148.652,148.900,261478
09:37,148.870,148.870,148.635,148.635,266890
09:38,148.640,148.640,148.121,148.260,339638
09:39,148.260,148.710,148.160,148.700,286251
09:40,148.720,149.010,148.680,149.000,362747
09:41,148.990,149.005,148.650,148.700,216359
09:42,148.700,148.765,148.420,148.765,256456
09:43,148.770,148.900,148.670,148.793,215854
09:44,148.806,148.840,148.610,148.750,201592
09:45,148.750,148.890,148.561,148.810,280981
09:46,148.800,148.950,148.620,148.950,191814
09:47,148.950,149.780,148.880,149.780,444379
09:48,149.780,150.200,149.500,150.080,527923
09:49,150.120,150.300,150.020,150.020,367284
09:50,150.030,150.340,149.940,150.225,305976
09:51,150.230,150.410,150.120,150.330,264165
09:52,150.340,150.580,150.250,150.300,343058
09:53,150.320,150.320,149.930,150.080,304316
09:54,150.060,150.490,150.050,150.450,243115
09:55,150.450,150.720,150.280,150.690,292328
09:56,150.680,150.850,150.600,150.830,274376
09:57,150.830,150.921,150.720,150.830,293853
09:58,150.830,151.140,150.790,151.030,363568
09:59,151.030,151.040,150.700,150.740,273204
10:00,150.740,150.780,150.460,150.608,325728
10:01,150.600,150.800,150.400,150.500,237254
10:02,150.484,150.660,150.450,150.530,162626
10:03,150.525,151.000,150.480,150.890,238577
10:04,150.880,151.090,150.800,150.804,232373
10:05,150.810,150.930,150.540,150.613,238290
10:06,150.614,150.790,150.500,150.685,216571
10:07,150.670,151.010,150.270,150.950,328524
10:08,150.950,151.470,150.900,151.340,483843
10:09,151.355,151.355,151.040,151.135,233328
10:10,151.120,151.280,151.080,151.110,283525
10:11,151.090,151.250,150.910,151.210,332981
10:12,151.220,151.280,150.710,150.780,317641
10:13,150.760,150.890,150.570,150.860,262941
10:14,150.890,150.980,150.720,150.890,169756
