time,open,high,low,close,volume
08:30,178.020,178.150,178.020,178.080,5012
08:31,178.140,178.250,178.130,178.250,6341
08:32,178.280,178.430,178.250,178.430,5677
08:33,178.394,178.580,178.330,178.560,25207
08:34,178.550,178.570,178.250,178.450,21445
08:35,178.440,178.550,178.277,178.510,18285
08:36,178.610,178.790,178.501,178.640,18677
08:37,178.690,178.770,178.560,178.690,13482
08:38,178.740,178.900,178.650,178.800,19883
08:39,178.800,178.850,178.600,178.621,26696
08:40,178.720,178.740,178.600,178.600,7797
08:41,178.560,178.590,178.200,178.260,32837
08:42,178.270,178.460,178.150,178.350,19041
08:43,178.300,178.370,178.190,178.190,9007
08:44,178.250,178.270,178.000,178.070,12253
08:45,178.050,178.230,178.050,178.130,13071
08:46,178.300,178.300,178.100,178.160,10618
08:47,178.102,178.350,178.102,178.310,9614
08:48,178.390,178.560,178.310,178.500,21281
08:49,178.490,178.560,178.370,178.490,11197
08:50,178.480,178.600,178.480,178.600,13127
08:51,178.550,178.670,178.520,178.660,10735
08:52,178.620,178.740,178.620,178.740,5646
08:53,178.750,178.760,178.590,178.679,23629
08:54,178.520,178.900,178.500,178.880,23180
08:55,178.850,178.850,178.620,178.750,14910
08:56,178.770,178.770,178.400,178.500,21977
08:57,178.590,178.590,178.200,178.360,24178
08:58,178.360,178.500,178.360,178.480,9927
08:59,178.490,178.630,178.430,178.450,5446
09:00,178.490,178.550,178.440,178.550,10194
09:01,178.500,178.550,178.250,178.300,28589
09:02,178.290,178.388,178.200,178.388,19575
09:03,178.280,178.400,178.280,178.300,8303
09:04,178.340,178.390,178.250,178.300,7473
09:05,178.250,178.370,178.180,178.220,12045
09:06,178.290,178.300,178.150,178.290,5220
09:07,178.300,178.340,178.260,178.340,6816
09:08,178.270,178.340,178.250,178.280,4631
09:09,178.260,178.330,178.220,178.250,8570
09:10,178.326,178.550,178.180,178.550,10558
09:11,178.400,178.770,178.330,178.560,11961
09:12,178.610,178.700,178.550,178.580,7785
09:13,178.640,178.660,178.400,178.480,9688
09:14,178.420,178.430,178.260,178.300,8839
09:15,178.360,178.370,178.160,178.220,9935
09:16,178.250,178.390,178.250,178.310,4878
09:17,178.400,178.459,178.400,178.400,5808
09:18,178.373,178.460,178.310,178.400,5237
09:19,178.350,178.350,178.310,178.350,2037
09:20,178.300,178.330,178.160,178.160,10174
09:21,178.200,178.370,178.200,178.250,6161
09:22,178.290,178.370,178.200,178.200,7819
09:23,178.340,178.399,178.240,178.340,5862
09:24,178.340,178.397,178.310,178.310,1892
09:25,178.300,178.340,178.210,178.300,8061
09:26,178.250,178.310,178.240,178.300,6110
09:27,178.240,178.270,178.000,178.170,27598
09:28,178.010,178.070,177.860,177.870,30543
09:29,177.900,178.080,177.900,178.070,12028
09:30,178.060,178.960,177.840,178.880,911686
